ID,Name,Address,Longitude,Latitude,Url,Photos,Description,Review_count,Zip_code,Search_category,
oZHSmOd7FAl5-DI4pRwH2g,Vision XY,Long Beach CA US 90899,-118.1994171,33.76763153,https://www.yelp.com/biz/vision-xy-long-beach?adjust_creative=5MSb7kUG2_VoAWp5ngoEAg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=5MSb7kUG2_VoAWp5ngoEAg,https://s3-media3.fl.yelpcdn.com/bphoto/None/o.jpg,Professional Services professional Performing Arts theater,1,90899,Entertainment,
KsQev-x_PqVuG4kncDq54g,Veteran's Memorial Stadium,5005 Lew Davis Dr Long Beach CA US 90899,-118.1368591,33.82883094,https://www.yelp.com/biz/veterans-memorial-stadium-long-beach?adjust_creative=5MSb7kUG2_VoAWp5ngoEAg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=5MSb7kUG2_VoAWp5ngoEAg,https://s3-media1.fl.yelpcdn.com/bphoto/5weHb-EkQ2oifuZcKfDCOA/o.jpg,Stadiums & Arenas stadiumsarenas,14,90899,Entertainment,
LWCue8apG7O3TPAaOE652g,Acura Grand Prix of Long Beach,3000 Pacific Ave Long Beach CA US 90899,-118.1883001,33.7641019,https://www.yelp.com/biz/acura-grand-prix-of-long-beach-long-beach?adjust_creative=5MSb7kUG2_VoAWp5ngoEAg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=5MSb7kUG2_VoAWp5ngoEAg,https://s3-media1.fl.yelpcdn.com/bphoto/WXBO6siIFfPASyaEkWkWoQ/o.jpg,Race Tracks racetracks,95,90899,Entertainment,
UQ2EV9ysd8VXOXngwT9HXQ,Cross/Fitness Martial Arts,Long Beach CA US 90899,-118.1994171,33.76763153,https://www.yelp.com/biz/cross-fitness-martial-arts-long-beach?adjust_creative=QTcAzZL07l_8n_E2GUsQ0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=QTcAzZL07l_8n_E2GUsQ0w,https://s3-media3.fl.yelpcdn.com/bphoto/None/o.jpg,Yoga yoga Martial Arts martialarts Trainers healthtrainers,1,90899,Arts,
R6iCOOL2f1A4AU3VxMtC1A,Tokyo Wako,310 S Pine Ave Long Beach CA US 90899,-118.1928637,33.76286962,https://www.yelp.com/biz/tokyo-wako-long-beach?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,https://s3-media1.fl.yelpcdn.com/bphoto/hNnlxX4qMjSLCQJwJ4Q3hg/o.jpg,Japanese japanese Sushi Bars sushi Steakhouses steak,510,90899,Food,
U7QBBm97nz5lfjXtZ-IDzw,Los Eduardos Restaurant,5428 Long Beach Blvd Long Beach CA US 90899,-118.19651,33.8549099,https://www.yelp.com/biz/los-eduardos-restaurant-long-beach-2?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,https://s3-media4.fl.yelpcdn.com/bphoto/TS30pqujyc95LoHB5y_XGw/o.jpg,Mexican mexican,153,90899,Food,
B0vfNwEdvdMCsG6MTWXFnA,Tee's Donuts,325 E Anaheim St Long Beach CA US 90899,-118.1885575,33.782799,https://www.yelp.com/biz/tees-donuts-long-beach?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,https://s3-media2.fl.yelpcdn.com/bphoto/HVgeBOsDFXxIi7uqwnNUCQ/o.jpg,Donuts donuts,46,90899,Food,
OWPXMkNb_XZi9R2AQ7ZD6w,Whaley Park,5620 Atherton St Long Beach CA US 90899,-118.1220664,33.7885751,https://www.yelp.com/biz/whaley-park-long-beach?adjust_creative=p3q3Q3Tz8WyU4aCHGUgWag&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=p3q3Q3Tz8WyU4aCHGUgWag,https://s3-media1.fl.yelpcdn.com/bphoto/mmCNuiF4r5fUJlw1ZZPOMw/o.jpg,Parks parks Playgrounds playgrounds,12,90899,Outdoors,
vK50ygI2lu8VGlIT3BCjMg,Long Beach Greenbelt,7TH And Park Ave Long Beach CA US 90899,-118.142657,33.775465,https://www.yelp.com/biz/long-beach-greenbelt-long-beach?adjust_creative=p3q3Q3Tz8WyU4aCHGUgWag&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=p3q3Q3Tz8WyU4aCHGUgWag,https://s3-media2.fl.yelpcdn.com/bphoto/kn8ZViHSHNa6WTWc7uo7-A/o.jpg,Parks parks,3,90899,Outdoors,
SfAJtN2mvF9f74xRXbcUHg,Bixby Park,130 Cherry Ave Long Beach CA US 90899,-118.1673438,33.7649786,https://www.yelp.com/biz/bixby-park-long-beach?adjust_creative=p3q3Q3Tz8WyU4aCHGUgWag&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=p3q3Q3Tz8WyU4aCHGUgWag,https://s3-media3.fl.yelpcdn.com/bphoto/6JXUnqcbMaW-5J70nkalKA/o.jpg,Playgrounds playgrounds,64,90899,Outdoors,
