Url,ID,Review_count
https://www.yelp.com/biz/majestic-djs-and-photobooths-long-beach-4?adjust_creative=5MSb7kUG2_VoAWp5ngoEAg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=5MSb7kUG2_VoAWp5ngoEAg,4-dF4zTkWUOHtQupN4c4Ag,3
https://www.yelp.com/biz/bottlecraft-long-beach?adjust_creative=IjEePJ2K74Gkvlpvvthzaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=IjEePJ2K74Gkvlpvvthzaw,aSOkYhhiNx1YNikZC7Nbyw,56
https://www.yelp.com/biz/jay-birds-chicken-long-beach-2?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,3_Em74Ug0q-lpIFFnime5g,305
https://www.yelp.com/biz/mod-pizza-long-beach-3?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,ZwC2s5x7RJdUxTpp6eWrbQ,128
https://www.yelp.com/biz/flame-broiler-long-beach-4?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,R5xvvK6Xoiwfups5LwB10A,88
https://www.yelp.com/biz/csulb-bookstore-long-beach?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,IxgyA2hJKV7XdDIiLsYcoQ,23
https://www.yelp.com/biz/calfornia-state-university-beach-hut-long-beach?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,f1dPXxrbl1ENrtAQcoJQBw,2
https://www.yelp.com/biz/us-passport-application-acceptance-office-long-beach-2?adjust_creative=JB5YkPgWlmsP__VnMxW7hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=JB5YkPgWlmsP__VnMxW7hg,Rt2Aa2aLpr9ynT_380qxYg,29
https://www.yelp.com/biz/earl-burns-miller-japanese-garden-long-beach?adjust_creative=_F6hesjEMXLiyCFcp6yfMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=_F6hesjEMXLiyCFcp6yfMw,zQMplpP_VZ4tW-u-UHbKHA,286
https://www.yelp.com/biz/csulb-student-health-services-long-beach-2?adjust_creative=6bwIwdKjwaTPKdmAEs-hRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=6bwIwdKjwaTPKdmAEs-hRg,u8MOoiddM_PVXVgafw_qyw,20
https://www.yelp.com/biz/csu-long-beach-recreation-room-long-beach?adjust_creative=IjEePJ2K74Gkvlpvvthzaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=IjEePJ2K74Gkvlpvvthzaw,leUhvgCsFoktrY_1U4pPRA,2
https://www.yelp.com/biz/walter-pyramid-long-beach-2?adjust_creative=5MSb7kUG2_VoAWp5ngoEAg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=5MSb7kUG2_VoAWp5ngoEAg,VnsrMkVN2w-dEahJ-xkxiw,31
https://www.yelp.com/biz/cal-state-long-beach-annual-american-indian-pow-wow-long-beach?adjust_creative=5MSb7kUG2_VoAWp5ngoEAg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=5MSb7kUG2_VoAWp5ngoEAg,3pIKw0uhUgD5JluVKgVcXA,7
https://www.yelp.com/biz/uam-university-art-museum-long-beach?adjust_creative=QTcAzZL07l_8n_E2GUsQ0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=QTcAzZL07l_8n_E2GUsQ0w,XdcTh_W6sQtrez2sI7ed7A,7
https://www.yelp.com/biz/california-state-university-long-beach-long-beach-7?adjust_creative=QTcAzZL07l_8n_E2GUsQ0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=QTcAzZL07l_8n_E2GUsQ0w,gMcm8OFqRHlGdyo7auMBvw,210
https://www.yelp.com/biz/csulb-horn-center-long-beach?adjust_creative=QTcAzZL07l_8n_E2GUsQ0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=QTcAzZL07l_8n_E2GUsQ0w,ofADjSASrtvodoQNDfFosQ,14
https://www.yelp.com/biz/rekindle-creative-long-beach-2?adjust_creative=QTcAzZL07l_8n_E2GUsQ0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=QTcAzZL07l_8n_E2GUsQ0w,3gq_QzdOJpWp5MEJCjcmGA,14
https://www.yelp.com/biz/hillside-dining-hall-long-beach-2?adjust_creative=QTcAzZL07l_8n_E2GUsQ0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=QTcAzZL07l_8n_E2GUsQ0w,KcDgEQ5yfgne1JY6Fe0EoQ,17
https://www.yelp.com/biz/the-chartroom-long-beach?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,VoJPtaYeSOxCtMOXKcT7nw,20
https://www.yelp.com/biz/opa-greek-long-beach?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,GyNtewcxAtS0nCsIg-cLhw,12
https://www.yelp.com/biz/hibachi-san-long-beach?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,DeE7Kn4paFDlOgNYluHA8w,51
https://www.yelp.com/biz/beach-walk-long-beach-2?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,9tK2kRjCRV_gWpRd5ynqJQ,4
https://www.yelp.com/biz/panda-express-long-beach-4?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,KEn5kZ0i-LYjBny_YT3f4w,34
https://www.yelp.com/biz/squeezeme-long-beach-4?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,T1YRJaMk5XB2w4WbVXA98Q,10
https://www.yelp.com/biz/the-beach-walk-cafe-long-beach-2?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,LADHXjZOUs6fEYRbtj5w0Q,35
https://www.yelp.com/biz/starbucks-long-beach-71?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,_RK5fqjEtnwhUUcgfUcfaQ,74
https://www.yelp.com/biz/starbucks-long-beach-72?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,aZfZMMGkik-4hTzmHuQu7w,43
https://www.yelp.com/biz/csulb-pool-long-beach?adjust_creative=p3q3Q3Tz8WyU4aCHGUgWag&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=p3q3Q3Tz8WyU4aCHGUgWag,eyf7dPbX5dV3W_VoZr6u0A,6
https://www.yelp.com/biz/compassionate-cuisine-long-beach?adjust_creative=p3q3Q3Tz8WyU4aCHGUgWag&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=p3q3Q3Tz8WyU4aCHGUgWag,2mEgNE7Gf-YbKVyZqYRPGg,1
https://www.yelp.com/biz/lokitm-wedding-photography-long-beach?adjust_creative=p3q3Q3Tz8WyU4aCHGUgWag&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=p3q3Q3Tz8WyU4aCHGUgWag,VYJKmAqOIIpY56_j-MV_qw,70
https://www.yelp.com/biz/plushcare-urgent-care-long-beach?adjust_creative=6bwIwdKjwaTPKdmAEs-hRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=6bwIwdKjwaTPKdmAEs-hRg,XfBhd7e__rGPvjJgC7-gjA,1
https://www.yelp.com/biz/anandia-pearls-long-beach?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,gle2IaS6F-DUCCTlLsILcw,3
