licenseNum,date_fetched,name,place_id,formatted_address,latitude,longitude,price_level,rating
BU91009150,4/5/19,Spirit Cruises,ChIJw3L7pyUx3YAR_vyUzIO-RVg,"429 Shoreline Village Drive, Long Beach, CA 90802, USA",33.7600754,-118.1918362,,4.3
BU96020430,4/5/19,Village Hat Shop,ChIJXci-9SQx3YARW4dEXCSE0f4,"429 Shoreline Village Dr a, Long Beach, CA 90802, USA",33.7604753,-118.1916341,2,4.2
BU97005870,4/5/19,Hot Licks Long Beach,ChIJYYJqYiQx3YAREgf_iqk1lGs,"419 Shoreline Village Dr, Long Beach, CA 90802, USA",33.7607293,-118.1908251,,4.7
BU21524339,4/5/19,Wheel Fun Rentals,ChIJYYJqYiQx3YARTjlP9geVecw,"429 Shoreline Village Drive, Long Beach, CA 90802, USA",33.760328,-118.191718,,4.2
BU21525244,4/5/19,Ace of Paints,ChIJwaGxb6g23YARojKKy5e15ZU,"1493 Cota Ave, Long Beach, CA 90813, USA",33.7854906,-118.2167466,,3
BU21608430,4/5/19,Mr. & Mrs. Fire Extinguisher,ChIJsR4fOh003YARxCEQyXgh13g,"1724 Hayes Ave, Long Beach, CA 90813, USA",33.7887146,-118.2186289,,0
MJ21700700,4/5/19,Chronic Pain Releaf Center,ChIJ6b5BW6g23YAR99vDGP-k2CY,"1501 Santa Fe Ave, Long Beach, CA 90813, USA",33.785492,-118.215804,,4.8
BU21708534,4/5/19,Budget Towing & Private Property Impound,ChIJVTgPCx003YARELiRU_epqAk,"2112 W 17th St, Long Beach, CA 90813, USA",33.788008,-118.2202502,,3.2
BU21803780,4/5/19,Advanced Registration Services,ChIJh9HkjW4t3YAREkHTyYw3ctM,"1700 Santa Fe Ave Ste 206, Long Beach, CA 90813, USA",33.7888706,-118.215211,,5
BU21800592,4/5/19,Express Fumigation Inc.,ChIJl-FDGrg33YARMbBd6flwCPk,"1487 Cota Ave, Long Beach, CA 90813, USA",33.7854425,-118.2167438,,0
BU21802316,4/5/19,Beach Cities Wholesalers,ChIJB_GKFh003YARi_mgMQiTmww,"2021 W 17th St, Long Beach, CA 90813, USA",33.788408,-118.2192603,,5
BU21802355,4/5/19,Studebaker Restoration Ltd,ChIJ9S1U47A33YARw4MeQ--qgYk,"1408 Santa Fe Ave, Long Beach, CA 90813, USA",33.7840229,-118.2150613,,5
BU20653110,4/5/19,Silva Truck & Auto Electric,ChIJE_4gZAI03YARlmW2mgdvv5g,"1618 W Esther St, Long Beach, CA 90813, USA",33.7888746,-118.2141696,,3.6
BU21800522,4/5/19,Find Your Feet Sock + Sandal Shop,ChIJocFbASUx3YARutS2c2DPWZ4,"419 Shoreline Village Dr ste a, Long Beach, CA 90802, USA",33.7604714,-118.1915572,,4.7
MJ21700353,4/5/19,Long Beach Green Room,ChIJDVsLhA0x3YARwzDdshC4flA,"1735 E 7th St, Long Beach, CA 90813, USA",33.7755308,-118.1701624,,4.1
BU20030610,4/5/19,Club Tan Tanning Salon,ChIJ14G6O70x3YARWkY4rNdZttw,"3924 E Anaheim St, Long Beach, CA 90804, USA",33.7823558,-118.1464184,,4.7
BU20049130,4/5/19,Vinh Heng Market,ChIJS4OXmnMx3YARv4sOoOATmn0,"2148 E Anaheim St, Long Beach, CA 90804, USA",33.7824893,-118.165637,,0
BU06066350,4/5/19,Recreation Park 18 Golf Course,ChIJsb15mccx3YARxl1yhCL7Q6k,"5001 Deukmejian Dr, Long Beach, CA 90804, USA",33.7804375,-118.135305,,4.2
BU20605470,4/5/19,Hot Java,ChIJQQIFzgUx3YARnw5ikmGtGhQ,"2101 E Broadway, Long Beach, CA 90803, USA",33.7670229,-118.1656355,1,4.5
BU20033951,4/5/19,Pacific Coast Style,ChIJDa3gEikw3YAR-JdjspOwFjo,"6232 E Pacific Coast Hwy, Long Beach, CA 90803, USA",33.7663671,-118.1173736,,4.9
BU03078940,4/5/19,Golden Burger,ChIJt1MH2Qgx3YARCtUJjRDFRxs,"2301 E 4th St, Long Beach, CA 90814, USA",33.7718833,-118.1641444,1,4.2
BU20428652,4/5/19,Olives Gourmet Grocer,ChIJnSNy5awx3YARpfACrw3jT0U,"3510 E Broadway, Long Beach, CA 90803, USA",33.7643084,-118.1509633,,4.5
BU04002280,4/5/19,Joe Jost's,ChIJ2bCn3p8x3YARlbTilqcLkvI,"2803 E Anaheim St, Long Beach, CA 90804, USA",33.782909,-118.158728,1,4.7
BU20603290,4/5/19,The Wine Crush,ChIJGfbtvKsx3YARWIXmbanw4ZU,"3131 E Broadway, Long Beach, CA 90803, USA",33.7647682,-118.1548499,2,4.7
BU20535520,4/5/19,Enrique's Mexican Restaurant,ChIJkf5f3isw3YARN6srTO4ktTY,"6210 E Pacific Coast Hwy, Long Beach, CA 90803, USA",33.7666908,-118.1178907,2,4.5
BU20425260,4/5/19,Rafaella's beauty salon,ChIJ8xa37KYx3YARwET1FCmMk5A,"3136 E 7th St, Long Beach, CA 90804, USA",33.7751867,-118.1551044,,3.8
BU20541800,4/5/19,Dr. Duggan & Associates,ChIJDTujZrox3YARnH1_oYvDAmU,"4137 E 7th St, Long Beach, CA 90804, USA",33.7755978,-118.143956,,3.7
BU20325040,4/5/19,Linne's Fashion Boutique,ChIJL5m4NqIx3YAR5cFtDFXn4vM,"1090 Redondo Ave, Long Beach, CA 90804, USA",33.7806878,-118.1522911,,5
BU20404710,4/5/19,Spa Sidney Beauty Lounge,ChIJub7L5Kwx3YAR-q-AWHIdsjs,"3519 E Broadway, Long Beach, CA 90803, USA",33.7646456,-118.1507712,2,5
BU02073660,4/5/19,Ghassem's Service Center,ChIJv8EC5eox3YARAFnZ66bGiU4,"1780 Clark Ave, Long Beach, CA 90815, USA",33.7894243,-118.1336073,,4.9
BU20039460,4/5/19,Lacey's Carpets,ChIJJye3O70x3YAR3cG2aER8IMo,"3922 E Anaheim St, Long Beach, CA 90804, USA",33.7824598,-118.1464844,,4.3
BU20623640,4/5/19,Apsara Beauty Salon,ChIJ07uce3Qx3YARJH7oB9RVCc0,"1305 Raymond Ave # B, Long Beach, CA 90804, USA",33.7829502,-118.1645458,,0
BU20100140,4/5/19,Postal Central,ChIJkaR2zhAx3YARig3klofmSJw,"1218 E Broadway, Long Beach, CA 90802, USA",33.7682493,-118.1763066,,4.6
BU20532260,4/5/19,Payless Tobacco,ChIJxwfJVZ8x3YARutQHfySmMAs,"3290 E Anaheim St, Long Beach, CA 90804, USA",33.7812973,-118.1530405,,4.1
BU20566480,4/5/19,Hacienda Grande Assisted Living,ChIJafkz_Jkx3YARUoLGCtaPQJc,"1740 Grand Ave, Long Beach, CA 90804, USA",33.7887564,-118.1478921,,3.8
BU20506750,4/5/19,Deno's Pizza,ChIJd1FLOqIx3YARbsZJ_RGCZyw,"1100 Redondo Ave, Long Beach, CA 90804, USA",33.781028,-118.151954,2,4.3
BU20506810,4/5/19,Fibers and Floors,ChIJkXZmrVQw3YARSiceYVPHC9Q,"16 Coronado Ave, Long Beach, CA 90803, USA",33.7618979,-118.1539207,,0
BU20616290,4/5/19,Best Shoe Repair & Keys,ChIJUUTdW58x3YARQZxb0uHzIZo,"3203 E Anaheim St, Long Beach, CA 90804, USA",33.7829581,-118.1544586,,2.3
