licenseNum,date,yelp_name,yelp_id,image_url,is_claimed,is_closed,address,city,state,country,zip_code,price,rating,review_count,transactions,url
BU21501270,2019-04-01,Raindance,pkaJPbpWAoeQPWM3Knke6g,https://s3-media2.fl.yelpcdn.com/bphoto/txeXLYR7zifSZBHXAXWyIw/o.jpg,True,False,419 Shoreline Village Dr,Long Beach,CA,US,90802,$$,4.0,4,[],https://www.yelp.com/biz/raindance-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU21418260,2019-04-01,Kabala Tires,DI2jVCKd7HSCwenTUNMwkA,https://s3-media2.fl.yelpcdn.com/bphoto/dcZe8dnvki1E1ZArY2qlcQ/o.jpg,True,False,1679 W 9th St,Long Beach,CA,US,90813,,3.5,3,[],https://www.yelp.com/biz/kabala-tires-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU21126510,2019-04-01,West Coast Sandblasting,TvIlXVhlrZpu9rCYhiYqyg,https://s3-media1.fl.yelpcdn.com/bphoto/2w4c4Q2Vjtshpql255wA-g/o.jpg,True,False,1516 Hayes Ave,Long Beach,CA,US,90813,,5.0,1,[],https://www.yelp.com/biz/west-coast-sandblasting-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU20911550,2019-04-01,Residence Inn by Marriott Long Beach Downtown,0V3KGp2_icCjL_e9rRYxyQ,https://s3-media4.fl.yelpcdn.com/bphoto/VNrU1zbbKwuc4TgFucfa-Q/o.jpg,True,False,600 Queensway Dr,Long Beach,CA,US,90802,$$,4.0,153,[],https://www.yelp.com/biz/residence-inn-long-beach-downtown-long-beach-2?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU20911560,2019-04-01,Residence Inn by Marriott Long Beach Downtown,0V3KGp2_icCjL_e9rRYxyQ,https://s3-media4.fl.yelpcdn.com/bphoto/VNrU1zbbKwuc4TgFucfa-Q/o.jpg,True,False,600 Queensway Dr,Long Beach,CA,US,90802,$$,4.0,153,[],https://www.yelp.com/biz/residence-inn-long-beach-downtown-long-beach-2?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU21226110,2019-04-01,All American Towing & Impound,YWa4TTjPFrVZ8xAexyymOQ,https://s3-media2.fl.yelpcdn.com/bphoto/OfMP9_r_tIoR0w_y9rW7kA/o.jpg,True,False,1752 Cota Ave,Long Beach,CA,US,90813,,4.5,6,[],https://www.yelp.com/biz/all-american-towing-and-impound-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU21117270,2019-04-01,C & C Towing,GVcXxuH88nvP0zFvrG2xCw,https://s3-media1.fl.yelpcdn.com/bphoto/H2gQGcnPyb0fEydQbge61w/o.jpg,True,False,,Long Beach,CA,US,90813,,2.5,8,[],https://www.yelp.com/biz/c-and-c-towing-long-beach-3?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU21102720,2019-04-01,La Bonita Inn,3Ysj9q3ElIOyEySXfGwfAQ,https://s3-media3.fl.yelpcdn.com/bphoto/MSEePWg_nIjowEKm7xaP-A/o.jpg,True,False,1626 W Esther St,Long Beach,CA,US,90813,$,2.5,7,[],https://www.yelp.com/biz/la-bonita-inn-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU21129080,2019-04-01,Beto's Auto Body Shop,qhEsVxl3SDknFu31lJOgOg,https://s3-media1.fl.yelpcdn.com/bphoto/HA1y3gfNn_DpEkKg5AL-gw/o.jpg,True,False,1541 W 15th St,Long Beach,CA,US,90813,,4.0,8,[],https://www.yelp.com/biz/betos-auto-body-shop-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU21011230,2019-04-01,Cafe Dia,jZFONmfpcNOBSzEJ2lMWAA,https://s3-media2.fl.yelpcdn.com/bphoto/y-u5LWZalQultUzjjfM38w/o.jpg,True,True,429 Shoreline Village Dr,Long Beach,CA,US,90802,$$,3.0,89,['pickup'],https://www.yelp.com/biz/cafe-dia-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
